Pathway_ID	Pathway_Name	Accession_Count	Accessions
Reactome: R-HSA-2408550	Metabolism of ingested H2SeO4 and H2SeO3 into H2Se	6	Dcitr12g0948015;Dcitr12g0957011;Dcitr12g0948012;Dcitr12g0948011;Dcitr12g0948014;Dcitr12g0948013
Reactome: R-HSA-901032	ER Quality Control Compartment (ERQC)	12	Dcitr03g2098011;Dcitr09g0706011;Dcitr09g0698011;Dcitr03g2100011;Dcitr00g0877011;Dcitr03g0605011;Dcitr03g2093011;Dcitr09g0696011;Dcitr00g1146011;Dcitr02g1483011;Dcitr03g0607011;Dcitr04g1378011
Reactome: R-HSA-400511	Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	8	Dcitr01g0951011;Dcitr06g1432011;Dcitr06g1430011;Dcitr04g0286011;Dcitr06g1426011;Dcitr00g1344011;Dcitr10g0295011;Dcitr01g0946011
Reactome: R-HSA-3000178	ECM proteoglycans	11	Dcitr02g0420012;Dcitr05g0125011;Dcitr00g0160011;Dcitr00g0159011;Dcitr02g1099011;Dcitr02g0420011;Dcitr02g0428011;Dcitr05g0131011;Dcitr02g0429012;Dcitr02g1097011;Dcitr02g0429011
Reactome: R-HSA-196757	Metabolism of folate and pterines	18	Dcitr00g1138011;Dcitr09g0296011;Dcitr00g1515011;Dcitr03g1418011;Dcitr08g1086011;Dcitr01g1380011;Dcitr03g1416011;Dcitr07g0824011;Dcitr12g0259015;Dcitr00g1516011;Dcitr12g0259013;Dcitr03g1415011;Dcitr12g0259012;Dcitr08g1048011;Dcitr12g0259014;Dcitr01g1376011;Dcitr12g0259011;Dcitr08g1090011
Reactome: R-HSA-5620922	BBSome-mediated cargo-targeting to cilium	19	Dcitr10g0740011;Dcitr11g0949011;Dcitr02g1967011;Dcitr01g0531011;Dcitr06g0897011;Dcitr05g1353011;Dcitr12g0484011;Dcitr00g0441011;Dcitr00g0795011;Dcitr02g1797011;Dcitr08g0831011;Dcitr02g1796011;Dcitr10g0741011;Dcitr02g0238011;Dcitr08g0993011;Dcitr01g1665011;Dcitr03g0376011;Dcitr12g0485011;Dcitr02g0236011
Reactome: R-HSA-8853659	RET signaling	6	Dcitr08g0591011;Dcitr13g0337012;Dcitr08g0132011;Dcitr13g0334011;Dcitr13g0318011;Dcitr08g0590011
Reactome: R-HSA-5250924	B-WICH complex positively regulates rRNA expression	31	Dcitr03g1278012;Dcitr02g0255011;Dcitr02g0259011;Dcitr02g0260011;Dcitr00g0947011;Dcitr00g1068011;Dcitr01g1675011;Dcitr00g1199011;Dcitr01g1676011;Dcitr04g1187011;Dcitr01g1677011;Dcitr00g1200011;Dcitr01g1787011;Dcitr04g0402011;Dcitr03g1505011;Dcitr11g0539011;Dcitr00g0818011;Dcitr11g0538011;Dcitr02g1988011;Dcitr05g0902011;Dcitr03g1509011;Dcitr01g1681011;Dcitr05g0904011;Dcitr01g1336011;Dcitr03g0801011;Dcitr01g1681012;Dcitr04g0398011;Dcitr11g0546011;Dcitr01g1475011;Dcitr03g1278011;Dcitr09g0388011
Reactome: R-HSA-352230	Amino acid transport across the plasma membrane	3	Dcitr10g0399011;Dcitr03g0467011;Dcitr13g0270011
Reactome: R-HSA-9604323	Negative regulation of NOTCH4 signaling	75	Dcitr00g0535011;Dcitr06g0639011;Dcitr06g1291011;Dcitr03g0471011;Dcitr09g0184011;Dcitr00g0823011;Dcitr02g1455011;Dcitr02g1206011;Dcitr04g1412011;Dcitr06g1296011;Dcitr05g0453011;Dcitr02g1444011;Dcitr06g0539011;Dcitr02g0738011;Dcitr04g1203011;Dcitr06g0669011;Dcitr03g1691011;Dcitr00g0877011;Dcitr00g1173011;Dcitr09g0188011;Dcitr09g0755011;Dcitr01g1647011;Dcitr04g1378011;Dcitr06g0638011;Dcitr06g0497011;Dcitr04g1433011;Dcitr03g1691012;Dcitr01g0474011;Dcitr00g1365011;Dcitr05g0452011;Dcitr09g0968011;Dcitr06g0539013;Dcitr04g1223011;Dcitr02g0589011;Dcitr09g0970011;Dcitr00g1146011;Dcitr06g0670011;Dcitr03g0469011;Dcitr06g0382011;Dcitr10g0436011;Dcitr03g0872011;Dcitr03g1691013;Dcitr06g0536011;Dcitr05g1464011;Dcitr02g1799011;Dcitr03g0869011;Dcitr03g1689011;Dcitr09g0730011;Dcitr05g1471011;Dcitr09g0760011;Dcitr00g1450011;Dcitr02g1483011;Dcitr06g0379011;Dcitr10g0292012;Dcitr06g0539012;Dcitr06g0478011;Dcitr03g0366011;Dcitr10g0294011;Dcitr03g1691014;Dcitr02g1456011;Dcitr02g1200011;Dcitr09g0754011;Dcitr00g0826011;Dcitr03g0873011;Dcitr04g0395011;Dcitr10g0292011;Dcitr01g0481011;Dcitr02g0591011;Dcitr01g1242011;Dcitr10g0434011;Dcitr04g0369011;Dcitr02g1801011;Dcitr02g0728011;Dcitr00g1531011;Dcitr06g0480011
Reactome: R-HSA-76005	Response to elevated platelet cytosolic Ca2+	1	Dcitr12g0318011
Reactome: R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	173	Dcitr13g0508014;Dcitr03g0545014;Dcitr05g0261011;Dcitr03g0449011;Dcitr13g0508012;Dcitr03g0718011;Dcitr05g1154011;Dcitr05g1326011;Dcitr09g0854011;Dcitr06g0605011;Dcitr12g0182011;Dcitr11g0948011;Dcitr10g1072012;Dcitr00g1146011;Dcitr03g1392011;Dcitr08g0638011;Dcitr10g0299011;Dcitr00g0738011;Dcitr04g0736011;Dcitr09g0643011;Dcitr05g0270011;Dcitr02g0848011;Dcitr06g0206011;Dcitr00g0138011;Dcitr00g0370011;Dcitr03g0765011;Dcitr01g0956011;Dcitr00g1306011;Dcitr01g1498011;Dcitr03g1270011;Dcitr03g0952011;Dcitr04g0117011;Dcitr00g0677011;Dcitr05g1156011;Dcitr00g0369011;Dcitr13g0360011;Dcitr05g0673011;Dcitr03g0429011;Dcitr03g1121011;Dcitr06g1387011;Dcitr10g1019013;Dcitr00g0537011;Dcitr00g0138012;Dcitr13g0262011;Dcitr02g0842011;Dcitr05g0741011;Dcitr03g0950011;Dcitr00g0138013;Dcitr06g0228011;Dcitr10g0140012;Dcitr01g1911011;Dcitr00g0301011;Dcitr11g0475011;Dcitr12g0840011;Dcitr00g0565011;Dcitr12g0998011;Dcitr06g0537011;Dcitr12g0921011;Dcitr11g0253012;Dcitr06g0743011;Dcitr11g0933011;Dcitr11g0240012;Dcitr11g0935011;Dcitr00g0877011;Dcitr03g0717011;Dcitr03g0707011;Dcitr11g0253011;Dcitr05g0468011;Dcitr03g1917011;Dcitr06g0992011;Dcitr03g0806011;Dcitr06g1391011;Dcitr03g1394011;Dcitr03g1269011;Dcitr01g1504011;Dcitr03g0438011;Dcitr06g0538011;Dcitr01g1075011;Dcitr06g1001011;Dcitr09g0801011;Dcitr13g0172011;Dcitr04g1106011;Dcitr04g1378011;Dcitr03g0956011;Dcitr13g0268011;Dcitr10g1019012;Dcitr11g0890011;Dcitr03g0764011;Dcitr01g1917011;Dcitr01g0351011;Dcitr12g0998012;Dcitr00g0658011;Dcitr10g1072013;Dcitr12g0836011;Dcitr03g0806013;Dcitr04g0958011;Dcitr03g0545011;Dcitr02g1483011;Dcitr11g0563011;Dcitr13g0508013;Dcitr06g0549011;Dcitr09g0602011;Dcitr10g1064011;Dcitr02g1585011;Dcitr12g0835011;Dcitr03g1274011;Dcitr06g0230011;Dcitr12g1004011;Dcitr09g0197011;Dcitr03g0806012;Dcitr09g0220011;Dcitr00g0705011;Dcitr09g0703011;Dcitr04g0737011;Dcitr04g0758011;Dcitr13g0528011;Dcitr04g0120011;Dcitr09g0708011;Dcitr10g1018011;Dcitr05g0742011;Dcitr03g1272011;Dcitr03g0423012;Dcitr03g1128011;Dcitr04g1369011;Dcitr01g0785011;Dcitr03g1919011;Dcitr03g0946011;Dcitr00g0140011;Dcitr00g0138014;Dcitr11g0476011;Dcitr02g0712011;Dcitr03g0545012;Dcitr05g0676011;Dcitr00g1343011;Dcitr06g0738011;Dcitr00g0702011;Dcitr02g1588011;Dcitr10g0140011;Dcitr01g0786011;Dcitr06g0546011;Dcitr02g1371011;Dcitr10g1072011;Dcitr03g0545013;Dcitr04g1333011;Dcitr04g0749011;Dcitr07g1029011;Dcitr00g0323011;Dcitr03g1121012;Dcitr01g1476011;Dcitr04g0180011;Dcitr11g0952011;Dcitr05g0458011;Dcitr02g0943011;Dcitr01g0346011;Dcitr02g0848012;Dcitr04g0118011;Dcitr11g0240011;Dcitr01g1495011;Dcitr10g1019011;Dcitr08g1236011;Dcitr03g0422011;Dcitr11g0372011;Dcitr11g0565011;Dcitr00g0758011;Dcitr00g0536011;Dcitr11g0108011;Dcitr13g0354011;Dcitr01g0957011;Dcitr00g1259011;Dcitr00g0827011;Dcitr09g0702011;Dcitr13g0508011;Dcitr00g0653011
Reactome: R-HSA-1482925	Acyl chain remodelling of PG	11	Dcitr03g1422011;Dcitr03g1426011;Dcitr10g1069011;Dcitr10g0808011;Dcitr07g0972011;Dcitr10g0924011;Dcitr07g0971011;Dcitr10g0926011;Dcitr01g2235011;Dcitr01g2236011;Dcitr03g1421011
Reactome: R-HSA-6785631	ERBB2 Regulates Cell Motility	2	Dcitr01g1661011;Dcitr08g1008011
Reactome: R-HSA-9613829	Chaperone Mediated Autophagy	6	Dcitr00g0877011;Dcitr01g0927011;Dcitr02g1483011;Dcitr01g0929011;Dcitr04g1378011;Dcitr00g1146011
Reactome: R-HSA-69202	Cyclin E associated events during G1/S transition	8	Dcitr05g1577011;Dcitr05g1580011;Dcitr12g0862011;Dcitr13g0291011;Dcitr05g1587011;Dcitr04g0543011;Dcitr03g0319011;Dcitr12g0881011
Reactome: R-HSA-163282	Mitochondrial transcription initiation	5	Dcitr03g1112011;Dcitr03g0493011;Dcitr03g0490011;Dcitr03g0487011;Dcitr03g0489012
Reactome: R-HSA-450513	Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	24	Dcitr03g0472011;Dcitr03g1474012;Dcitr09g0214011;Dcitr00g1087011;Dcitr07g0441013;Dcitr09g0187011;Dcitr04g1699011;Dcitr03g1392011;Dcitr07g0441015;Dcitr03g1474011;Dcitr07g0441011;Dcitr09g0191011;Dcitr07g0450011;Dcitr00g1231011;Dcitr03g1877011;Dcitr07g0441012;Dcitr10g0135011;Dcitr03g1394011;Dcitr03g1475011;Dcitr04g1697011;Dcitr06g1475011;Dcitr07g0441014;Dcitr11g0987011;Dcitr03g1475012
Reactome: R-HSA-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	61	Dcitr11g0547011;Dcitr05g1466011;Dcitr12g1004011;Dcitr12g0569011;Dcitr01g0405011;Dcitr03g1955011;Dcitr01g1501011;Dcitr04g1272011;Dcitr06g0712011;Dcitr03g0567011;Dcitr11g0302011;Dcitr02g0594011;Dcitr05g1466014;Dcitr04g1520011;Dcitr00g0702011;Dcitr03g1512011;Dcitr05g0432011;Dcitr05g0682011;Dcitr02g1943011;Dcitr03g1960011;Dcitr05g1451011;Dcitr03g1961011;Dcitr10g1077011;Dcitr03g1242011;Dcitr12g0566011;Dcitr12g0998011;Dcitr02g0592011;Dcitr03g0283011;Dcitr02g0712011;Dcitr03g1962011;Dcitr04g1524011;Dcitr05g1037011;Dcitr03g1956011;Dcitr01g0409011;Dcitr12g0998012;Dcitr04g0416011;Dcitr05g0430011;Dcitr10g1049011;Dcitr05g1466012;Dcitr04g1269011;Dcitr01g0262011;Dcitr04g1353011;Dcitr07g0642011;Dcitr07g0386011;Dcitr05g1466015;Dcitr05g1466013;Dcitr01g1040011;Dcitr10g0302011;Dcitr05g0426011;Dcitr03g1955012;Dcitr04g1353013;Dcitr08g1236011;Dcitr03g1954011;Dcitr01g1042011;Dcitr03g1513011;Dcitr10g1029011;Dcitr01g1476011;Dcitr04g1353012;Dcitr13g0656011;Dcitr11g0297011;Dcitr07g1136011
Reactome: R-HSA-1237044	Erythrocytes take up carbon dioxide and release oxygen	5	Dcitr00g0670011;Dcitr01g0860012;Dcitr06g0685011;Dcitr01g0860011;Dcitr06g0691011
Reactome: R-HSA-197264	Nicotinamide salvaging	8	Dcitr10g0246011;Dcitr04g1675012;Dcitr04g1675011;Dcitr01g0417011;Dcitr00g0556011;Dcitr02g1930011;Dcitr01g0418011;Dcitr02g1928011
Reactome: R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	26	Dcitr10g0120011;Dcitr03g1442011;Dcitr04g0459011;Dcitr00g0877011;Dcitr03g1439011;Dcitr08g0720011;Dcitr03g1438011;Dcitr00g1289011;Dcitr12g0679011;Dcitr13g0436011;Dcitr00g1243011;Dcitr12g0659011;Dcitr12g0667011;Dcitr01g0955012;Dcitr02g1483011;Dcitr13g0440011;Dcitr07g0945011;Dcitr01g0955011;Dcitr02g0528011;Dcitr03g1443011;Dcitr00g1146011;Dcitr03g1420011;Dcitr03g0866011;Dcitr04g1378011;Dcitr00g1455011;Dcitr00g0997011
Reactome: R-HSA-159231	Transport of Mature mRNA Derived from an Intronless Transcript	34	Dcitr04g1549011;Dcitr04g1353013;Dcitr03g1954011;Dcitr09g0120011;Dcitr03g1513011;Dcitr01g1042011;Dcitr10g1029011;Dcitr04g1353012;Dcitr01g1476011;Dcitr11g0297011;Dcitr13g0656011;Dcitr01g0409011;Dcitr01g0262011;Dcitr03g1023011;Dcitr07g0642011;Dcitr09g0124011;Dcitr04g1353011;Dcitr02g0123011;Dcitr01g1040011;Dcitr03g1512011;Dcitr02g1943011;Dcitr05g0682011;Dcitr03g1961011;Dcitr05g1451011;Dcitr04g1556011;Dcitr03g0283011;Dcitr02g0592011;Dcitr01g1501011;Dcitr01g0405011;Dcitr04g1549012;Dcitr09g0121011;Dcitr11g0302011;Dcitr03g0567011;Dcitr02g0594011
Reactome: R-HSA-983231	Factors involved in megakaryocyte development and platelet production	45	Dcitr10g0542011;Dcitr04g0388011;Dcitr00g0647011;Dcitr10g0545012;Dcitr09g0482011;Dcitr05g1224011;Dcitr05g0500011;Dcitr04g1260011;Dcitr00g0309011;Dcitr11g0583011;Dcitr00g0498011;Dcitr10g0542012;Dcitr01g1477011;Dcitr11g0583012;Dcitr09g0401011;Dcitr04g0821011;Dcitr09g0483011;Dcitr05g1213011;Dcitr02g0942011;Dcitr04g1259011;Dcitr10g0541011;Dcitr00g0257011;Dcitr04g0390011;Dcitr04g0819011;Dcitr01g1381011;Dcitr07g0816011;Dcitr09g0479011;Dcitr00g1174011;Dcitr08g0132011;Dcitr09g0480011;Dcitr09g0398011;Dcitr04g0390013;Dcitr05g1212011;Dcitr04g0387011;Dcitr10g0545013;Dcitr10g0545011;Dcitr09g0477011;Dcitr00g1361011;Dcitr09g0403011;Dcitr09g0396011;Dcitr01g0345011;Dcitr01g0344011;Dcitr04g0390012;Dcitr00g0348011;Dcitr01g2194011
Reactome: R-HSA-164843	2-LTR circle formation	10	Dcitr02g1876011;Dcitr02g1870011;Dcitr03g0826011;Dcitr02g1875011;Dcitr03g0825011;Dcitr02g1868011;Dcitr02g1872011;Dcitr02g1873011;Dcitr11g0785011;Dcitr11g0783011
Reactome: R-HSA-5173105	O-linked glycosylation	12	Dcitr03g0270011;Dcitr02g0429012;Dcitr04g1260011;Dcitr02g0428011;Dcitr03g0273011;Dcitr02g0429011;Dcitr04g1261011;Dcitr06g1062011;Dcitr02g0420012;Dcitr02g0420011;Dcitr03g0275011;Dcitr06g1045011
Reactome: R-HSA-167290	Pausing and recovery of HIV elongation	34	Dcitr00g0849011;Dcitr02g1988011;Dcitr05g0914011;Dcitr01g0493011;Dcitr03g0476011;Dcitr09g0773011;Dcitr03g1452011;Dcitr01g0230011;Dcitr13g0573011;Dcitr05g0789012;Dcitr05g0902011;Dcitr01g2054011;Dcitr01g1073011;Dcitr05g0788011;Dcitr05g0789011;Dcitr00g0590011;Dcitr00g0818011;Dcitr12g0705011;Dcitr05g1439011;Dcitr01g0493012;Dcitr01g1787011;Dcitr01g0232011;Dcitr02g0968011;Dcitr01g1240011;Dcitr00g0588011;Dcitr01g1233011;Dcitr03g1466011;Dcitr09g0456011;Dcitr09g0772011;Dcitr09g0454011;Dcitr09g0456012;Dcitr05g0904011;Dcitr01g1336011;Dcitr13g0574011
Reactome: R-HSA-1855204	Synthesis of IP3 and IP4 in the cytosol	17	Dcitr05g0669011;Dcitr11g0380011;Dcitr11g0380012;Dcitr11g0364011;Dcitr06g1459011;Dcitr06g1459012;Dcitr08g0284011;Dcitr08g0298011;Dcitr11g0384011;Dcitr05g0664011;Dcitr03g0341011;Dcitr02g0898011;Dcitr05g0665011;Dcitr05g0667011;Dcitr02g0900011;Dcitr06g1457011;Dcitr08g0298012
Reactome: R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	3	Dcitr01g0417011;Dcitr08g0780011;Dcitr12g0290011
Reactome: R-HSA-5624958	ARL13B-mediated ciliary trafficking of INPP5E	2	Dcitr01g1442011;Dcitr01g1405011
Reactome: R-HSA-1236394	Signaling by ERBB4	5	Dcitr08g1008011;Dcitr05g1413011;Dcitr08g0539011;Dcitr05g1415011;Dcitr05g1414011
Reactome: R-HSA-5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2	8	Dcitr06g0284011;Dcitr06g0225012;Dcitr06g0225011;Dcitr06g0225013;Dcitr03g0790011;Dcitr06g0204011;Dcitr03g0803011;Dcitr03g0799011
Reactome: R-HSA-1855183	Synthesis of IP2, IP, and Ins in the cytosol	17	Dcitr09g0640011;Dcitr06g1457011;Dcitr06g1293011;Dcitr05g1021011;Dcitr05g0477011;Dcitr05g1027011;Dcitr05g0474011;Dcitr11g0384011;Dcitr05g1028011;Dcitr01g1427011;Dcitr11g0380012;Dcitr11g0380011;Dcitr06g1459011;Dcitr11g0364011;Dcitr08g1265011;Dcitr05g1028012;Dcitr06g1459012
Reactome: R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	89	Dcitr04g1433011;Dcitr06g1501011;Dcitr03g1691012;Dcitr06g1498011;Dcitr03g0914011;Dcitr02g0589011;Dcitr09g0970011;Dcitr04g1223011;Dcitr06g0539013;Dcitr00g1365011;Dcitr05g0452011;Dcitr09g0968011;Dcitr02g1812011;Dcitr01g0474011;Dcitr04g1378011;Dcitr01g1647011;Dcitr09g0755011;Dcitr06g0497011;Dcitr06g0638011;Dcitr04g1246011;Dcitr06g1229011;Dcitr00g1280011;Dcitr05g0453011;Dcitr06g1296011;Dcitr02g1444011;Dcitr02g0738011;Dcitr06g0539011;Dcitr02g1815011;Dcitr09g0188011;Dcitr00g0877011;Dcitr00g1173011;Dcitr03g1691011;Dcitr03g1467011;Dcitr04g1203011;Dcitr06g0669011;Dcitr00g0535011;Dcitr07g0908011;Dcitr06g0639011;Dcitr03g0908011;Dcitr03g1458011;Dcitr04g1412011;Dcitr02g1206011;Dcitr02g1455011;Dcitr06g1291011;Dcitr03g0471011;Dcitr09g0184011;Dcitr05g1011011;Dcitr01g1242011;Dcitr02g0591011;Dcitr06g0480011;Dcitr00g1531011;Dcitr02g1801011;Dcitr02g0728011;Dcitr04g0369011;Dcitr03g1691014;Dcitr10g0294011;Dcitr03g0366011;Dcitr03g0873011;Dcitr10g0292011;Dcitr04g0395011;Dcitr01g0481011;Dcitr02g1200011;Dcitr09g0754011;Dcitr00g0826011;Dcitr05g1014011;Dcitr02g1456011;Dcitr03g0901011;Dcitr10g0292012;Dcitr06g0379011;Dcitr02g1483011;Dcitr07g0910011;Dcitr09g0760011;Dcitr00g1450011;Dcitr09g0730011;Dcitr05g1471011;Dcitr06g0478011;Dcitr06g0539012;Dcitr03g0872011;Dcitr06g0382011;Dcitr03g0469011;Dcitr00g1146011;Dcitr06g0670011;Dcitr03g1689011;Dcitr03g0869011;Dcitr05g1464011;Dcitr02g1799011;Dcitr03g0900011;Dcitr06g0536011;Dcitr03g1691013
Reactome: R-HSA-445989	TAK1 activates NFkB by phosphorylation and activation of IKKs complex	7	Dcitr01g0349011;Dcitr04g1378011;Dcitr00g0135011;Dcitr00g0877011;Dcitr02g1483011;Dcitr00g0619011;Dcitr00g1146011
Reactome: R-HSA-8951671	RUNX3 regulates YAP1-mediated transcription	2	Dcitr06g0574011;Dcitr06g0575011
Reactome: R-HSA-209543	p75NTR recruits signalling complexes	8	Dcitr00g0877011;Dcitr02g0769011;Dcitr02g0765011;Dcitr00g1146011;Dcitr04g1378011;Dcitr04g0121011;Dcitr02g1483011;Dcitr02g0774011
Reactome: R-HSA-9627069	Regulation of the apoptosome activity	11	Dcitr10g0902011;Dcitr04g0184011;Dcitr10g0993011;Dcitr06g0495011;Dcitr06g0496011;Dcitr10g0904011;Dcitr05g1125011;Dcitr01g1474011;Dcitr05g1113011;Dcitr00g0534011;Dcitr05g1119011
Reactome: R-HSA-6791462	TALDO1 deficiency: failed conversion of Fru(6)P, E4P to SH7P, GA3P	1	Dcitr06g1089011
Reactome: R-HSA-204005	COPII-mediated vesicle transport	36	Dcitr03g1678011;Dcitr03g0280011;Dcitr08g0116011;Dcitr05g0355011;Dcitr03g0108011;Dcitr08g0135011;Dcitr06g0899012;Dcitr04g1372011;Dcitr01g1957011;Dcitr08g0552012;Dcitr05g0195011;Dcitr05g0350011;Dcitr02g1794011;Dcitr11g0502011;Dcitr01g1824012;Dcitr03g1532011;Dcitr11g0502012;Dcitr01g0331011;Dcitr02g1411011;Dcitr02g1572011;Dcitr03g0567011;Dcitr06g0899011;Dcitr01g1959011;Dcitr10g0586011;Dcitr01g0328011;Dcitr06g0899013;Dcitr09g0524011;Dcitr08g0549012;Dcitr03g1541011;Dcitr08g0549011;Dcitr01g1824011;Dcitr04g1374011;Dcitr03g0852011;Dcitr01g0499011;Dcitr01g1955011;Dcitr02g1409011
Reactome: R-HSA-8963684	Tyrosine catabolism	1	Dcitr03g0267011
Reactome: R-HSA-162791	Attachment of GPI anchor to uPAR	13	Dcitr01g0740011;Dcitr07g0153011;Dcitr11g0416011;Dcitr07g0154011;Dcitr01g0740013;Dcitr04g0183011;Dcitr07g0589011;Dcitr01g0740014;Dcitr07g0592011;Dcitr01g0740012;Dcitr04g0185011;Dcitr02g0254011;Dcitr02g0258011
Reactome: R-HSA-432047	Passive transport by Aquaporins	16	Dcitr02g0800011;Dcitr01g0563011;Dcitr01g1630011;Dcitr13g0151011;Dcitr08g1179011;Dcitr13g0152011;Dcitr07g1280011;Dcitr08g1200011;Dcitr02g0798011;Dcitr06g0481011;Dcitr01g1638011;Dcitr08g1199011;Dcitr13g0153011;Dcitr08g1181011;Dcitr01g1626011;Dcitr02g0796011
Reactome: R-HSA-8949664	Processing of SMDT1	23	Dcitr04g0878011;Dcitr08g0717011;Dcitr08g1054011;Dcitr02g0458011;Dcitr07g0465011;Dcitr07g0463011;Dcitr08g1050011;Dcitr04g0873011;Dcitr08g0716011;Dcitr08g0719011;Dcitr08g0718011;Dcitr02g0465011;Dcitr00g0429011;Dcitr05g1167011;Dcitr05g1174011;Dcitr05g0505011;Dcitr00g0597011;Dcitr08g1053012;Dcitr01g1453011;Dcitr00g0961011;Dcitr02g0463011;Dcitr08g1053011;Dcitr04g0876011
Reactome: R-HSA-1810476	RIP-mediated NFkB activation via ZBP1	4	Dcitr02g0769011;Dcitr02g0765011;Dcitr00g0619011;Dcitr02g0774011
Reactome: R-HSA-216083	Integrin cell surface interactions	10	Dcitr02g0533011;Dcitr02g0536011;Dcitr02g1097011;Dcitr00g0159011;Dcitr00g0160011;Dcitr02g1098011;Dcitr02g0534011;Dcitr00g0934011;Dcitr02g0530011;Dcitr02g1099011
Reactome: R-HSA-1483255	PI Metabolism	2	Dcitr11g0413011;Dcitr11g0418011
Reactome: R-HSA-8939256	RUNX1 regulates transcription of genes involved in WNT signaling	1	Dcitr04g0427011
Reactome: R-HSA-3214858	RMTs methylate histone arginines	23	Dcitr06g0152011;Dcitr06g0259011;Dcitr10g0885011;Dcitr09g0595012;Dcitr04g1505011;Dcitr11g0397011;Dcitr11g0659011;Dcitr00g1068011;Dcitr00g0947011;Dcitr03g1635011;Dcitr03g1634012;Dcitr04g1483011;Dcitr03g1635012;Dcitr04g0288011;Dcitr06g0506011;Dcitr03g1634011;Dcitr04g0574011;Dcitr00g1373011;Dcitr07g1094011;Dcitr04g1540011;Dcitr02g0535011;Dcitr11g0393011;Dcitr11g0398011
Reactome: R-HSA-6811438	Intra-Golgi traffic	27	Dcitr02g0745011;Dcitr01g0328011;Dcitr04g0828011;Dcitr01g0667011;Dcitr04g0831011;Dcitr04g1361011;Dcitr01g1195011;Dcitr02g1675011;Dcitr11g0292011;Dcitr03g0539011;Dcitr08g0116011;Dcitr11g0281011;Dcitr13g0144011;Dcitr04g1372011;Dcitr08g0135011;Dcitr05g0491011;Dcitr05g0498011;Dcitr08g0501011;Dcitr01g1697011;Dcitr03g2037011;Dcitr07g0190011;Dcitr03g2051011;Dcitr02g0747011;Dcitr11g0282011;Dcitr04g1374011;Dcitr01g1699011;Dcitr01g0331011
Reactome: R-HSA-110312	Translesion synthesis by REV1	19	Dcitr01g1394011;Dcitr01g1189011;Dcitr06g0207011;Dcitr00g1146011;Dcitr03g1972011;Dcitr04g1378011;Dcitr01g1393011;Dcitr04g0487011;Dcitr00g0877011;Dcitr01g1930011;Dcitr01g1400012;Dcitr06g0231011;Dcitr01g1190011;Dcitr01g1400011;Dcitr02g0720011;Dcitr01g1600011;Dcitr06g0229011;Dcitr04g1067011;Dcitr02g1483011
Reactome: R-HSA-5626467	RHO GTPases activate IQGAPs	22	Dcitr07g0746011;Dcitr13g0442011;Dcitr10g0773011;Dcitr09g0265011;Dcitr01g1496011;Dcitr03g0565011;Dcitr10g0863012;Dcitr01g1500011;Dcitr05g0500011;Dcitr10g0870011;Dcitr04g0107011;Dcitr03g1513011;Dcitr03g0169011;Dcitr02g0477011;Dcitr13g0439011;Dcitr02g1346011;Dcitr10g0863011;Dcitr09g0270011;Dcitr02g1352011;Dcitr08g0368011;Dcitr03g0993011;Dcitr06g0120011
Reactome: R-HSA-350054	Notch-HLH transcription pathway	19	Dcitr06g0463011;Dcitr01g1571012;Dcitr05g1193011;Dcitr08g0331011;Dcitr04g1381011;Dcitr06g0340011;Dcitr08g0330011;Dcitr00g0440011;Dcitr09g0388011;Dcitr04g1185011;Dcitr05g1195011;Dcitr04g1401012;Dcitr12g0674011;Dcitr06g0468011;Dcitr02g0719011;Dcitr01g1571011;Dcitr06g0344011;Dcitr04g1401011;Dcitr06g0469011
Reactome: R-HSA-389359	CD28 dependent Vav1 pathway	1	Dcitr05g0500011
Reactome: R-HSA-5620924	Intraflagellar transport	32	Dcitr03g0669011;Dcitr10g0554011;Dcitr07g1222011;Dcitr03g0504011;Dcitr04g0236011;Dcitr07g0477011;Dcitr01g1351011;Dcitr03g0670011;Dcitr03g0673011;Dcitr07g1227011;Dcitr02g1775011;Dcitr02g0503011;Dcitr03g2016011;Dcitr02g0501011;Dcitr05g1518011;Dcitr02g0574011;Dcitr03g2021011;Dcitr05g0262011;Dcitr04g0888011;Dcitr04g0886011;Dcitr02g1851011;Dcitr05g1519011;Dcitr04g0889011;Dcitr05g0263011;Dcitr05g0269011;Dcitr11g0702011;Dcitr03g2015011;Dcitr02g0145011;Dcitr03g2020011;Dcitr11g0701011;Dcitr09g0237011;Dcitr03g2019011
Reactome: R-HSA-390648	Muscarinic acetylcholine receptors	1	Dcitr08g0358011
Reactome: R-HSA-432720	Lysosome Vesicle Biogenesis	11	Dcitr06g0225012;Dcitr10g0666011;Dcitr02g0445011;Dcitr06g0225011;Dcitr06g0225013;Dcitr02g0449011;Dcitr01g1444011;Dcitr06g0204011;Dcitr01g1404011;Dcitr02g0453011;Dcitr07g0172011
